neigh,denomin,st_area_sh,st_lenght
0,,1228843.18993000011,29121.00967280000
11,Porto-Mare,1478226.15834000008,13007.40529420000
2,Cinque Torri-Santa Veneranda,5540805.20949999988,13128.16479090000
1,Centro Storico,1281108.95641000010,5019.25156346000
3,Colline e Castelli,35550546.50949999690,47785.59808200000
4,Villa Fastiggi-Villa Ceccolini,21415038.45459999889,28380.24695940000
5,Cattabrighe-S. Maria delle Fabbrecce,16289288.66400000080,20410.42287480000
12,Pantano,1178542.67258000001,4415.82720145000
6,San Bartolo,18050507.25959999859,32721.07692240000
7,Montegranaro-Muraglia,7237848.24383000098,17388.57187960000
10,Villa San Martino,2654402.85001999978,8365.21483211000
8,Pozzo-Borgo Santa Maria,12274932.68319999985,23037.09712530000
9,Soria-Tombaccia,2384815.44709999999,11677.91128310000
13,Monteciccardo,25845413.15300000086,36394.72104900000
